Table S5. Relevant explicit climate change details collected from each plan,,,,
Plan,Name,Component,Indicator,Strategy
164,Area de Conservacion Guanacaste,Objectives,Enhance overall system resilience to climate change,"""Recently, the restoration of extensive natural areas has become
particularly important as a strategy for adaptation to global climate change to ensure the
displacement of species (INBio 2009)."""
164,Area de Conservacion Guanacaste,Objectives,Improve climate change awareness/education,"Develop communication materials (videos, brochures, press articles)"
165,Alto Golfo de California y Delta del Río Colorado,Climate,Discuss limitations with respect to adaptation and/or mitigation,"""Unexpected global climate change remains outside the plans in water management, a situation that can be catastrophic in the long term."""
167,Parque Nacional Bahía de Loreto,Climate,Discusses protection as climate mitigation strategy,"""Conservation and management of protected natural areas they constitute a measure of adaptation and mitigation to climate change, since the protection and conservation of ecosystems and biodiversity reduce their vulnerability and increase their resilience and ensure the environmental services on which society depends."""
167,Parque Nacional Bahía de Loreto,Climate,Discusses role of area as carbon sink,"""At the same time, they favor the increase of natural carbon sinks and deposits, which reduces its concentration in the atmosphere."""
167,Parque Nacional Bahía de Loreto,Objectives,Maintain function/biodiversity in climate change,"""...the protection and conservation of ecosystems and biodiversity reduce their vulnerability and increase their resilience and ensure the environmental services on which society depends."""
167,Parque Nacional Bahía de Loreto,Objectives,Enhance overall system resilience to climate change,"""Reduce the vulnerability of ecosystems, increasing their ability to adapt in the face of climate change"""
167,Parque Nacional Bahía de Loreto,Objectives,Monitoring climate effects and/or indicators,"""Promote the monitoring of relevant ecosystem and environmental variables, in terms of climate change in the PNA."""
167,Parque Nacional Bahía de Loreto,Objectives,Promote climate change research (or increase cc knowledge),"""Promote the development of research projects and the exchange of information on climate change."""
167,Parque Nacional Bahía de Loreto,Objectives,Reduce emissions; green operations,"""Promote the implementation of a work program to reduce emissions"""
167,Parque Nacional Bahía de Loreto,Objectives,Improve climate change awareness/education,"""Disseminate clear and precise information on the problem and strategies against climate change"""
167,Parque Nacional Bahía de Loreto,Assessment,Conducted climate change vulnerability assessment,"""Promote the design and implement in a participatory manner a Climate Change Adaptation Program for the National Park Assist, based on the applicable legal provisions, in carrying out a Vulnerability Analysis of the ANP and its area of influence, which incorporate the design of adaptation measures and lines of action to reduce the impacts of climate change, in coordination with the competent authorities."""
170,Parc National de Port-Cros,Objectives,General climate change adaptation,"""This orientation aims to reduce the vulnerability of the territory's natural and human systems against the real or expected effects of risks and climate change
by developing a shared adaptation strategy between public and private actors."""
170,Parc National de Port-Cros,Objectives,Maintain function/biodiversity in climate change,"""Anticipate the circulation needs of migratory
species through ecological corridors taking climate
change into account."""
170,Parc National de Port-Cros,Objectives,Enhance overall system resilience to climate change,"""Develop forest management that restores the
conditions for better resilience in the face of
storms, diseases, parasites, fires and water stress."""
